azimuth0,elevation0,temperature0,humidity0,vPanel0,azimuth1,elevation1,temperature1,humidity1,vPanel1,azimuth2,elevation2,temperature2,humidity2,vPanel2,azimuth3,elevation3,temperature3,humidity3,vPanel3,azimuth4,elevation4,temperature4,humidity4,vPanel4,azimuth5,elevation5,temperature5,humidity5,vPanel5,azimuth6,elevation6,temperature6,humidity6,vPanel6,azimuth7,elevation7,temperature7,humidity7,vPanel7,azimuth8,elevation8,temperature8,humidity8,vPanel8,azimuth9,elevation9,temperature9,humidity9,vPanel9,azimuth10,elevation10,temperature10,humidity10,vPanel10,azimuth11,elevation11,temperature11,humidity11,vPanel11,azimuth12,elevation12,temperature12,humidity12,vPanel12,azimuth13,elevation13,temperature13,humidity13,vPanel13,azimuth14,elevation14,temperature14,humidity14,vPanel14,azimuth15,elevation15,temperature15,humidity15,vPanel15,azimuth16,elevation16,temperature16,humidity16,vPanel16,azimuth17,elevation17,temperature17,humidity17,vPanel17
90.756,30.768,34.3,25.1,0.61,90.931,30.97,34.5,25.5,0.623,91.101,31.167,34.8,25.1,0.63,91.274,31.366,35.2,24.6,0.638,91.447,31.565,35.5,24.0,0.641,91.624,31.768,35.5,24.2,0.648,91.795,31.964,35.6,21.9,0.649,91.97,32.164,35.7,23.3,0.666,92.145,32.363,35.6,22.6,0.674,92.32,32.562,35.2,23.8,0.681,92.496,32.761,35.8,23.2,0.694,92.67,32.958,36.3,22.6,0.715,92.846,33.157,36.5,21.5,0.713,93.023,33.356,36.8,21.7,0.722,93.204,33.558,36.7,20.1,0.727,93.379,33.754,36.4,19.6,0.731,93.558,33.953,36.4,19.3,0.74,93.74,34.156,36.3,19.2,0.749
90.931,30.97,34.5,25.5,0.623,91.101,31.167,34.8,25.1,0.63,91.274,31.366,35.2,24.6,0.638,91.447,31.565,35.5,24.0,0.641,91.624,31.768,35.5,24.2,0.648,91.795,31.964,35.6,21.9,0.649,91.97,32.164,35.7,23.3,0.666,92.145,32.363,35.6,22.6,0.674,92.32,32.562,35.2,23.8,0.681,92.496,32.761,35.8,23.2,0.694,92.67,32.958,36.3,22.6,0.715,92.846,33.157,36.5,21.5,0.713,93.023,33.356,36.8,21.7,0.722,93.204,33.558,36.7,20.1,0.727,93.379,33.754,36.4,19.6,0.731,93.558,33.953,36.4,19.3,0.74,93.74,34.156,36.3,19.2,0.749,93.916,34.352,37.0,18.9,0.75
91.101,31.167,34.8,25.1,0.63,91.274,31.366,35.2,24.6,0.638,91.447,31.565,35.5,24.0,0.641,91.624,31.768,35.5,24.2,0.648,91.795,31.964,35.6,21.9,0.649,91.97,32.164,35.7,23.3,0.666,92.145,32.363,35.6,22.6,0.674,92.32,32.562,35.2,23.8,0.681,92.496,32.761,35.8,23.2,0.694,92.67,32.958,36.3,22.6,0.715,92.846,33.157,36.5,21.5,0.713,93.023,33.356,36.8,21.7,0.722,93.204,33.558,36.7,20.1,0.727,93.379,33.754,36.4,19.6,0.731,93.558,33.953,36.4,19.3,0.74,93.74,34.156,36.3,19.2,0.749,93.916,34.352,37.0,18.9,0.75,94.096,34.551,36.7,18.9,0.754
91.274,31.366,35.2,24.6,0.638,91.447,31.565,35.5,24.0,0.641,91.624,31.768,35.5,24.2,0.648,91.795,31.964,35.6,21.9,0.649,91.97,32.164,35.7,23.3,0.666,92.145,32.363,35.6,22.6,0.674,92.32,32.562,35.2,23.8,0.681,92.496,32.761,35.8,23.2,0.694,92.67,32.958,36.3,22.6,0.715,92.846,33.157,36.5,21.5,0.713,93.023,33.356,36.8,21.7,0.722,93.204,33.558,36.7,20.1,0.727,93.379,33.754,36.4,19.6,0.731,93.558,33.953,36.4,19.3,0.74,93.74,34.156,36.3,19.2,0.749,93.916,34.352,37.0,18.9,0.75,94.096,34.551,36.7,18.9,0.754,94.277,34.749,36.8,19.0,0.749
91.447,31.565,35.5,24.0,0.641,91.624,31.768,35.5,24.2,0.648,91.795,31.964,35.6,21.9,0.649,91.97,32.164,35.7,23.3,0.666,92.145,32.363,35.6,22.6,0.674,92.32,32.562,35.2,23.8,0.681,92.496,32.761,35.8,23.2,0.694,92.67,32.958,36.3,22.6,0.715,92.846,33.157,36.5,21.5,0.713,93.023,33.356,36.8,21.7,0.722,93.204,33.558,36.7,20.1,0.727,93.379,33.754,36.4,19.6,0.731,93.558,33.953,36.4,19.3,0.74,93.74,34.156,36.3,19.2,0.749,93.916,34.352,37.0,18.9,0.75,94.096,34.551,36.7,18.9,0.754,94.277,34.749,36.8,19.0,0.749,94.455,34.945,37.4,19.5,0.758
91.624,31.768,35.5,24.2,0.648,91.795,31.964,35.6,21.9,0.649,91.97,32.164,35.7,23.3,0.666,92.145,32.363,35.6,22.6,0.674,92.32,32.562,35.2,23.8,0.681,92.496,32.761,35.8,23.2,0.694,92.67,32.958,36.3,22.6,0.715,92.846,33.157,36.5,21.5,0.713,93.023,33.356,36.8,21.7,0.722,93.204,33.558,36.7,20.1,0.727,93.379,33.754,36.4,19.6,0.731,93.558,33.953,36.4,19.3,0.74,93.74,34.156,36.3,19.2,0.749,93.916,34.352,37.0,18.9,0.75,94.096,34.551,36.7,18.9,0.754,94.277,34.749,36.8,19.0,0.749,94.455,34.945,37.4,19.5,0.758,94.64,35.147,37.7,19.1,0.76
91.795,31.964,35.6,21.9,0.649,91.97,32.164,35.7,23.3,0.666,92.145,32.363,35.6,22.6,0.674,92.32,32.562,35.2,23.8,0.681,92.496,32.761,35.8,23.2,0.694,92.67,32.958,36.3,22.6,0.715,92.846,33.157,36.5,21.5,0.713,93.023,33.356,36.8,21.7,0.722,93.204,33.558,36.7,20.1,0.727,93.379,33.754,36.4,19.6,0.731,93.558,33.953,36.4,19.3,0.74,93.74,34.156,36.3,19.2,0.749,93.916,34.352,37.0,18.9,0.75,94.096,34.551,36.7,18.9,0.754,94.277,34.749,36.8,19.0,0.749,94.455,34.945,37.4,19.5,0.758,94.64,35.147,37.7,19.1,0.76,94.822,35.346,37.9,19.0,0.755
91.97,32.164,35.7,23.3,0.666,92.145,32.363,35.6,22.6,0.674,92.32,32.562,35.2,23.8,0.681,92.496,32.761,35.8,23.2,0.694,92.67,32.958,36.3,22.6,0.715,92.846,33.157,36.5,21.5,0.713,93.023,33.356,36.8,21.7,0.722,93.204,33.558,36.7,20.1,0.727,93.379,33.754,36.4,19.6,0.731,93.558,33.953,36.4,19.3,0.74,93.74,34.156,36.3,19.2,0.749,93.916,34.352,37.0,18.9,0.75,94.096,34.551,36.7,18.9,0.754,94.277,34.749,36.8,19.0,0.749,94.455,34.945,37.4,19.5,0.758,94.64,35.147,37.7,19.1,0.76,94.822,35.346,37.9,19.0,0.755,95.002,35.542,38.1,19.3,0.758
92.145,32.363,35.6,22.6,0.674,92.32,32.562,35.2,23.8,0.681,92.496,32.761,35.8,23.2,0.694,92.67,32.958,36.3,22.6,0.715,92.846,33.157,36.5,21.5,0.713,93.023,33.356,36.8,21.7,0.722,93.204,33.558,36.7,20.1,0.727,93.379,33.754,36.4,19.6,0.731,93.558,33.953,36.4,19.3,0.74,93.74,34.156,36.3,19.2,0.749,93.916,34.352,37.0,18.9,0.75,94.096,34.551,36.7,18.9,0.754,94.277,34.749,36.8,19.0,0.749,94.455,34.945,37.4,19.5,0.758,94.64,35.147,37.7,19.1,0.76,94.822,35.346,37.9,19.0,0.755,95.002,35.542,38.1,19.3,0.758,95.185,35.74,38.3,19.7,0.781
92.32,32.562,35.2,23.8,0.681,92.496,32.761,35.8,23.2,0.694,92.67,32.958,36.3,22.6,0.715,92.846,33.157,36.5,21.5,0.713,93.023,33.356,36.8,21.7,0.722,93.204,33.558,36.7,20.1,0.727,93.379,33.754,36.4,19.6,0.731,93.558,33.953,36.4,19.3,0.74,93.74,34.156,36.3,19.2,0.749,93.916,34.352,37.0,18.9,0.75,94.096,34.551,36.7,18.9,0.754,94.277,34.749,36.8,19.0,0.749,94.455,34.945,37.4,19.5,0.758,94.64,35.147,37.7,19.1,0.76,94.822,35.346,37.9,19.0,0.755,95.002,35.542,38.1,19.3,0.758,95.185,35.74,38.3,19.7,0.781,95.371,35.942,38.0,19.7,0.792
92.496,32.761,35.8,23.2,0.694,92.67,32.958,36.3,22.6,0.715,92.846,33.157,36.5,21.5,0.713,93.023,33.356,36.8,21.7,0.722,93.204,33.558,36.7,20.1,0.727,93.379,33.754,36.4,19.6,0.731,93.558,33.953,36.4,19.3,0.74,93.74,34.156,36.3,19.2,0.749,93.916,34.352,37.0,18.9,0.75,94.096,34.551,36.7,18.9,0.754,94.277,34.749,36.8,19.0,0.749,94.455,34.945,37.4,19.5,0.758,94.64,35.147,37.7,19.1,0.76,94.822,35.346,37.9,19.0,0.755,95.002,35.542,38.1,19.3,0.758,95.185,35.74,38.3,19.7,0.781,95.371,35.942,38.0,19.7,0.792,95.553,36.138,38.1,19.9,0.802
92.67,32.958,36.3,22.6,0.715,92.846,33.157,36.5,21.5,0.713,93.023,33.356,36.8,21.7,0.722,93.204,33.558,36.7,20.1,0.727,93.379,33.754,36.4,19.6,0.731,93.558,33.953,36.4,19.3,0.74,93.74,34.156,36.3,19.2,0.749,93.916,34.352,37.0,18.9,0.75,94.096,34.551,36.7,18.9,0.754,94.277,34.749,36.8,19.0,0.749,94.455,34.945,37.4,19.5,0.758,94.64,35.147,37.7,19.1,0.76,94.822,35.346,37.9,19.0,0.755,95.002,35.542,38.1,19.3,0.758,95.185,35.74,38.3,19.7,0.781,95.371,35.942,38.0,19.7,0.792,95.553,36.138,38.1,19.9,0.802,95.738,36.336,37.6,20.3,0.809
92.846,33.157,36.5,21.5,0.713,93.023,33.356,36.8,21.7,0.722,93.204,33.558,36.7,20.1,0.727,93.379,33.754,36.4,19.6,0.731,93.558,33.953,36.4,19.3,0.74,93.74,34.156,36.3,19.2,0.749,93.916,34.352,37.0,18.9,0.75,94.096,34.551,36.7,18.9,0.754,94.277,34.749,36.8,19.0,0.749,94.455,34.945,37.4,19.5,0.758,94.64,35.147,37.7,19.1,0.76,94.822,35.346,37.9,19.0,0.755,95.002,35.542,38.1,19.3,0.758,95.185,35.74,38.3,19.7,0.781,95.371,35.942,38.0,19.7,0.792,95.553,36.138,38.1,19.9,0.802,95.738,36.336,37.6,20.3,0.809,95.923,36.535,36.6,19.9,0.82
93.023,33.356,36.8,21.7,0.722,93.204,33.558,36.7,20.1,0.727,93.379,33.754,36.4,19.6,0.731,93.558,33.953,36.4,19.3,0.74,93.74,34.156,36.3,19.2,0.749,93.916,34.352,37.0,18.9,0.75,94.096,34.551,36.7,18.9,0.754,94.277,34.749,36.8,19.0,0.749,94.455,34.945,37.4,19.5,0.758,94.64,35.147,37.7,19.1,0.76,94.822,35.346,37.9,19.0,0.755,95.002,35.542,38.1,19.3,0.758,95.185,35.74,38.3,19.7,0.781,95.371,35.942,38.0,19.7,0.792,95.553,36.138,38.1,19.9,0.802,95.738,36.336,37.6,20.3,0.809,95.923,36.535,36.6,19.9,0.82,96.109,36.733,36.0,19.7,0.828
